상품명,스펙목록,가격
삼성전자 비스포크 제트 VS20A956A3P,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 210W / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 일체형청정스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 물걸레(별도구매) / 디스플레이표시창 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 물통용량: 0.15L / 색상: 미드나잇블루 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x930x202mm,506540
샤오미 지미 JV85 프로,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 200AW / 흡입력: 25000Pa / [구성] 바닥 / 침구 / 솔형 / 더스팅 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간30분 / 사용시간: 1시간10분 / [성능] 헤파필터 / [기능] 배터리잔량표시 / [부가] 먼지통용량: 0.6L / 색상: 퍼플,138220
JONR XQ02E,물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 충전시간: 5시간 / 사용시간: 35분 / [기능] 흡입력: 13000Pa / BLDC모터 / 물분사 / 배터리잔량표시 / 걸레자동세척 / [부가] 물통용량: 0.5L / 무게: 4.41kg / 크기(가로x세로x깊이): 260x1130x216mm,219100
신일전자 SVC-D950GK,핸디청소기 / 무선형 / 흡입전용 / [구성] 솔형 / 틈새 / 거치대 / [배터리] 충전시간: 5시간30분 / 사용시간: 16분 / [성능] 2단계여과 / [기능] 프리볼트 / [부가] 무게: 1.74kg / 건습식 / 크기(가로x세로x깊이): 414x120x118mm,47930
앱코 오엘라 HV01,핸디청소기 / 무선형 / 흡입전용 / 흡입력: 12000Pa / [구성] 솔형 / 틈새 / 거치대 / [배터리] 사용시간: 35분 / [성능] 헤파필터 / [기능] 프리볼트 / [부가] 색상: 네이비 / 무게: 0.8kg / 크기(가로x세로x깊이): 80x400x80mm,49000
테팔 엑스퍼트 3.60 TY6974,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 매트리스 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 45분 / [성능] DC모터 / [기능] LED라이트 / 배터리잔량표시 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 블랙+옐로우 / 무게: 2.2kg,186470
샤오미 드리미 T10,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 120AW / 흡입력: 20000Pa / [구성] 바닥 / 솔형 / 틈새 / 패브릭 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [부가] 먼지통용량: 0.6L / 색상: 화이트 / 무게: 1.65kg,199000
샤오미 유핀 CL99,핸디스틱청소기 / 무선형 / 흡입전용 / [배터리] 충전시간: 4시간 / 사용시간: 50분 / [부가] 색상: 화이트 / 무게: 1.1kg,34270
DIBEA 차이슨 ALLNEW22000 (2022년형),핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 35000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 내장형 / 충전시간: 4~5시간 / 사용시간: 40분 / [성능] BLDC모터 / 헤파필터 / 4단계여과 / [기능] 물걸레(별도구매) / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.55L / 색상: 플레임오렌지 / 무게: 2.2kg / 크기(가로x세로x깊이): 240x1040x212mm,199000
샤오미 미지아 B201CN,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / [구성] 바닥 / 솔형 / 틈새 / [배터리] 내장형 / 사용시간: 40분 / 3단계여과 / [부가] 먼지통용량: 0.3L / 무게: 1.09kg / 크기(가로x세로x깊이): 240x1100x125mm,129630
모모픽 MAX300,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 30000Pa / [구성] 바닥 / 카펫 / 솔형 / 틈새 / 거치대 / [배터리] 내장형 / 충전시간: 5시간 / 사용시간: 40분 / [성능] BLDC모터 / 헤파필터 / 4단계여과 / [기능] 물걸레(별도구매) / 디스플레이표시창 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.8L / 색상: 화이트 / 무게: 1.8kg / 크기(가로x세로x깊이): 230x1060x200mm,178000
일렉트로룩스 ZB6218STM,핸디청소기 / 무선형 / 흡입전용 / [구성] 거치대 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 30분 / [성능] 3단계여과 / [부가] 먼지통용량: 0.5L / 색상: 스페이스틸메탈릭 / 무게: 1.19kg / 크기(가로x세로x깊이): 124x137x410mm,137700
에어그립 차량용 무선진공청소기 라이트 KA-377,"차량용청소기 / 무선 / 흡입력: 5,500Pa / 헤파필터 / 추가노즐: 솔브러쉬, 연장호스 / LED라이트 / 충전방식: USB C타입 / 배터리용량: 2,000mAh / 크기: 167mmx55mmx146mm / 무게: 300g",28960
삼성전자 비스포크 슬림 VS15A680AF,스틱청소기 / 무선형 / 흡입전용 / 흡입력: 150W / [구성] 바닥 / 틈새 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 50분 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 셀프스탠딩 / LED라이트 / [부가] 먼지통용량: 0.3L / 색상: 그리너리 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1143x194mm,315380
일렉트로룩스 퓨어 Q9 파워프로 PQ92-3EMF,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 긴틈새 / 거치대 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 53분 / [성능] 5단계여과 / [기능] 셀프스탠딩 / LED라이트 / [부가] 먼지통용량: 0.3L / 색상: 마호가니브론즈 / 무게: 2.89kg / 크기(가로x세로x깊이): 256x1097x155mm,344420
테팔 엑스퍼트 3.60 플러피 TY6964,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 45분 / [기능] LED라이트 / [부가] 먼지통용량: 0.5L / 무게: 2.4kg,280200
아이룸 트윈파워 MAX,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 침구 / 솔형 / 틈새 / 거치대 / [배터리] 내장형 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 먼지감지센서 / [부가] 무게: 1.5kg,145000
한경희생활과학 아쿠아젯 듀얼스핀 HIA-C200,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 충전시간: 6시간 / 사용시간: 2시간 / [기능] 물분사 / LED라이트 / 각도조절 / 셀프스탠딩 / 풋터치버튼 / [부가] 물통용량: 0.4L / 색상: 화이트 / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 320x1160x195mm,119000
비브르 스톰파워 VE12,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 12000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / [배터리] 충전시간: 4~5시간 / 사용시간: 40분 / [성능] 헤파필터 / [기능] 셀프스탠딩 / LED라이트 / [부가] 먼지통용량: 0.8L / 무게: 2.3kg,117900
삼성전자 제트 VS20T9258SDCC,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 200W / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / 청정스테이션 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 인버터모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 티탄+그레이 / 무게: 2.64kg / 크기(가로x세로x깊이): 250x1123x215mm,548870
샤오미 드리미 건습식 W10 Pro,물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 사용시간: 35분 / [기능] 각도조절 / 셀프스탠딩 / 배터리잔량표시 / 걸레자동세척 / [부가] 물통용량: 0.75L / 색상: 화이트 / 무게: 5.4kg / 크기(가로x세로x깊이): 250x1100x250mm,428000
마이프랜드 아백 무선 청소기,"차량용청소기 / 무선 / 흡입력: 6,000Pa / 3중필터 / 헤파필터 / 사용시간: 20분 / 충전시간: 4시간 / 충전방식: USB C타입 / 크기:295x150mm / 무게: 450g / 색상: 오렌지, 퍼플",37940
모모픽 MAX200,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 20000Pa / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 내장형 / 충전시간: 5시간 / 사용시간: 40분 / [성능] BLDC모터 / 헤파필터 / 4단계여과 / [기능] 물걸레(별도구매) / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.6L / 색상: 화이트 / 무게: 1.8kg / 크기(가로x세로x깊이): 230x1060x200mm,138000
SooPii 차량용 무선 에어건 겸용 청소기 BV01 전용필터,차량용청소기 / 필터 / 헤파필터,1960
LG전자 오브제컬렉션 코드제로 A9S AU9882WD + MO971WA,핸디/스틱청소기+로봇청소기세트 / 무선형 / 흡입+물걸레겸용 / 흡입력: 220W / [구성] 와이드바닥 / 스팀물걸레 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (2개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 자동먼지비움 / [부가] 색상: 카밍베이지 / 무게: 2.7kg / 크기(가로x세로x깊이): 300x1120x260mm / ※ 상품 옵션 확인 후 구매,1818070
듀플렉스 DP-485VC,핸디청소기 / 무선형 / 흡입전용 / [구성] 솔형 / 틈새 / [성능] 2단계여과 / [부가] 색상: 화이트+블루 / 무게: 1.5kg / 크기(가로x세로x깊이): 100x360x100mm,25000
작스제로 XAX 0,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 29000Pa / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 40분 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [부가] 먼지통용량: 0.8L / 색상: 블루 / 무게: 1.5kg / 크기(가로x세로x깊이): 255x1170x235mm,271810
카렉스 파워스톰 스윙 무선 청소기 S2,"차량용청소기 / 무선 / 흡입력: 5,000Pa / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / LED라이트 / 사용시간: 30분 / 충전시간: 3시간 / 충전방식: USB C타입 / 배터리용량: 2,000mAh",27810
LG전자 오브제컬렉션 코드제로 A9 AU9472WD,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 220W / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 자동먼지비움 / [부가] 색상: 카밍베이지 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x1120x260mm / 올인원타워 1.0,1101950
LG전자 오브제컬렉션 코드제로 A9S AU9982GD + MO971GA,핸디/스틱청소기+로봇청소기세트 / 무선형 / 흡입+물걸레겸용 / 흡입력: 220W / [구성] 와이드바닥 / 스팀물걸레 / 침구 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (2개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 디스플레이표시창 / 자동물공급 / LED라이트 / 자동먼지비움 / [부가] 색상: 카밍그린 / 무게: 2.7kg / 크기(가로x세로x깊이): 300x1120x260mm / ※ 상품 옵션 확인 후 구매,1768690
LG전자 코드제로 A9S AT9300IA,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 200W / [구성] 바닥 / 침구 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 분리형배기필터 / 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 아이언그레이+딥그레이 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,699390
보만 VC7210,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 틈새 / 연장툴 / [배터리] 충전시간: 10시간 / 사용시간: 10~15분 / 헤파필터 / [부가] 색상: 블랙+오렌지 / 무게: 0.8kg / 크기(가로x세로x깊이): 145x440x115mm,49790
샤오미 미지아 K10 프로,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 150AW / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간5분 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 먼지감지센서 / [부가] 먼지통용량: 0.5L / 물통용량: 0.4L,348990
한샘 스톰건 V12 VC-R201,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 20000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 충전시간: 4~5시간 / 사용시간: 35분 / [성능] BLDC모터 / 3단계여과 / LED라이트 / [부가] 먼지통용량: 0.6L / 색상: 블루 / 무게: 2.5kg / 크기(가로x세로x깊이): 210x1040x104mm,107000
카렉스 파워스톰 텀블러 차량용 무선청소기 S8A,"차량용청소기 / 무선 / 흡입력: 5,500Pa / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 충전시간: 3시간 / 크기: 270x55mm / 배터리 용량: 2,600mAh",28420
블랙앤데커 리비바 REVHV8C,핸디청소기 / 무선형 / 흡입전용 / [구성] 솔형 / 틈새 / [배터리] 내장형 / 충전시간: 6시간 / 사용시간: 22분 / [부가] 먼지통용량: 0.125L,79000
밀라디 MLD-VC2022,핸디청소기 / 무선형 / 흡입전용 / 흡입력: 13000Pa / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 충전시간: 5시간 / 사용시간: 28분 / [성능] BLDC모터 / 헤파필터 / 2단계여과 / [부가] 먼지통용량: 0.09L / 무게: 0.52kg,77680
에어메이드 THE 500+ AMC-4500,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 침구 / 솔형 / 더스팅 / 틈새 / 연장툴 / 업탑어댑터 / 거치대 / [배터리] 충전시간: 4시간30분 / 사용시간: 1시간 / [성능] BLDC모터 / 헤파필터 / 4단계여과 / [기능] 프리볼트 / [부가] 색상: 화이트 / 무게: 2.3kg / 크기(가로x세로x깊이): 256x1243x133mm,249000
일렉트로룩스 얼티밋홈 700 EFS71423,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 긴틈새 / 연장툴 / 거치대 / [배터리] 내장형 / 충전시간: 4시간30분 / 사용시간: 53분 / [성능] 듀얼헤파필터 / 5단계여과 / [기능] 셀프스탠딩 / LED라이트 / [부가] 먼지통용량: 0.3L / 색상: 다크그레이 / 무게: 2.97kg / 크기(가로x세로x깊이): 256x1097x155mm,569860
오토반 썬더 2in1 차량용 무선 청소기 AW-Z9735,"차량용청소기 / 무선 / 흡입력: 15,000Pa / 최대출력: 80W / 추가노즐: 틈새 / 사용시간: ~40분 / 충전시간: ~4.5시간 / 무게: 530g / 색상: 화이트, 블랙",85400
보랄 큐텐 BR-Q390RV,"핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / [배터리] 사용시간: 30분 / [성능] 헤파필터 / 2단계여과 / [기능] 셀프스탠딩 / LED라이트 / 프리볼트 / [부가] 색상: 블랙, 화이트 / 크기(가로x세로x깊이): 125x510x110mm",62800
블랙앤데커 PV1420C,핸디청소기 / 무선형 / 흡입전용 / [구성] 거치대 / [배터리] 충전시간: 4시간 / 사용시간: 11분 / [기능] 프리볼트 / [부가] 색상: 샴페인 / 무게: 1.33kg / 피벗노즐 / 크기(가로x세로x깊이): 270x170x140mm,76000
신일전자 SVC-DC2200SK,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / [배터리] 충전시간: 4~5시간 / 사용시간: 35분 / 헤파필터 / [기능] 프리볼트 / [부가] 먼지통용량: 0.5L / 무게: 1.5kg / 크기(가로x세로x깊이): 230x1040x210mm,125400
샤오미 드리미 H12,"물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 충전시간: 5시간 / 사용시간: 30분 / [기능] 흡입력: 16000Pa / 셀프스탠딩 / 배터리잔량표시 / 걸레자동세척 / 물통용량: 정수: 0.5L, 오수: 0.9L / 무게: 4.75kg / 크기(가로x세로x깊이): 290x1100x230mm",499000
코코민트 트윈파워 OP-030,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 200W / 흡입력: 23000Pa / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 40분 / [성능] BLDC모터 / 헤파필터 / 4단계여과 / [기능] LED라이트 / 배터리잔량표시 / [부가] 무게: 1kg / 크기(가로x세로x깊이): 200x1150x120mm,127980
자이로콥 GC-510WT,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 / 충전시간: 4시간30분 / 사용시간: 40분 / [기능] DC모터 / 물분사 / LED라이트 / 각도조절 / 셀프스탠딩 / [부가] 물통용량: 0.23L / 색상: 화이트 / 무게: 2.5kg / 크기(가로x세로x깊이): 370x1200x180mm,103990
리빙조이 차량용 무선청소기 H1 PLUS,"차량용청소기 / 무선 / 흡입력: 13,000Pa / 최대출력: 120W / 2중필터 / 헤파필터 / 스테인리스 필터 / 추가노즐: 틈새, 솔브러쉬 / 싸이클론 / 사용시간: 30분 / 충전시간: 4~5시간 / 색상: 블랙, 화이트 / 크기: 410x70mm / 무게: 550g",95920
베이스어스 차량용 무선 진공 청소기 A2 Pro (해외구매),"차량용청소기 / 무선 / 흡입력: 6,000Pa / 최대출력: 80W / 색상: 블랙, 화이트, 블루 / 120ml 먼지통 / 무게: 약 508g",39970
일렉트로룩스 에르고라피도 ZB3311,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 틈새 / 거치대 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 48분 / [성능] 4단계여과 / [기능] 브러쉬자동청소 / 셀프스탠딩 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.42L / 색상: 타이탄블루 / 무게: 3.01kg / 크기(가로x세로x깊이): 303x690x162mm,238990
기펠 듀얼 글라이드 360 P11,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 23000Pa / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 30분 / [성능] BLDC모터 / 헤파필터 / 3단계여과 / [부가] 무게: 2.5kg / 크기(가로x세로x깊이): 250x1045x240mm,427800
케이디와이 휴대용 미니청소기 KPV-3525,"차량용청소기 / 필터 / 무선 / 흡입력: 2,700Pa / 최대출력: 45W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 25분 / 충전방식: USB타입 / 충전시간: 3.5시간 / 크기: 83x83x293mm / 무게: 660g",27370
다이슨 V15 디텍트 앱솔루트 엑스트라,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 240AW / [구성] 레이저슬림플러피 / 하이토크 / 헤어스크류 / 솔형 / 더스팅 / 스터번더트 / 틈새 / 업탑어댑터 / 거치대 / 도킹스테이션 / [배터리] 분리형 (1개) / 충전시간: 4시간30분 / 사용시간: 1시간 / [성능] 헤파필터 / [기능] 디스플레이표시창 / 먼지감지센서 / [부가] 먼지통용량: 0.54L / 색상: 옐로우/아이언/니켈 / 무게: 3kg / 크기(가로x세로x깊이): 250x1086x250mm,1190000
스위스밀리터리 에어슬림 SMA-BV2200,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 17000Pa / [구성] 바닥 / 침구 / 틈새 / 연장툴 / 거치대 / [배터리] 충전시간: 5시간 / 사용시간: 30분 / [성능] BLDC모터 / 헤파필터 / 3단계여과 / [기능] LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.4L / 에어컴프레셔 / 크기(가로x세로x깊이): 80x1040x190mm,195000
아이닉 i20,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 25000Pa / [구성] 바닥 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 50분 / [성능] 헤파필터 / [부가] 먼지통용량: 0.5L / 색상: 블랙 / 무게: 2.5kg / 크기(가로x세로x깊이): 241x1144x211mm,199000
쿠쿠전자 파워클론 CVC-AE1420,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 140AW / [구성] 바닥 / 침구 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 사용시간: 35분 / [성능] BLDC모터 / 5단계여과 / [기능] 디스플레이표시창 / 먼지감지센서 / [부가] 색상: 노블화이트 / 무게: 3.1kg / 크기(가로x세로x깊이): 240x1168x260mm,240870
보아르 포스 B25 Pro,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 30000Pa / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 1시간 / [성능] BLDC모터 / 헤파필터 / 3단계여과 / [기능] 디스플레이표시창 / 먼지감지센서 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.8L / 색상: 화이트 / 무게: 1.43kg / 크기(가로x세로x깊이): 250x1080x106mm,198000
디티 핸디형 미니 무선청소기 DT-CV200,"차량용청소기 / 무선 / 흡입력: 5,500Pa / 최대출력: 120W / 추가노즐: 틈새, 솔브러쉬 / LED라이트 / 충전방식: USB C타입 / 배터리용량: 2,000mAh / 크기: 164x147x55mm / 무게: 350g",22850
일렉트로룩스 ZB3302AK,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 침구 / 틈새 / 긴틈새 / 패브릭 / 연장툴 / 거치대 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 42분 / [성능] 4단계여과 / [기능] 브러쉬자동청소 / 셀프스탠딩 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.42L / 색상: 스페이스틸 / 무게: 3.22kg / 크기(가로x세로x깊이): 303x690x162mm,189000
샤오미 CLEANFLY 차량용 무선 청소기 H1 (해외구매),"차량용청소기 / 무선 / 흡입력: 16,800Pa / 최대출력: 120W / 2중필터 / 사용시간: 30분 / 충전방식: USB C타입 / 색상: 블랙, 화이트 / 크기: 369x72mm / 무게: 560g",50650
네오비즈 미라스 FX-178VC,핸디청소기 / 무선형 / 흡입전용 / [구성] 거치대 / [배터리] [부가] 먼지통용량: 0.35L / 색상: 화이트 / 무게: 0.8kg / 크기(가로x세로x깊이): 77x410x100mm,29610
시프이컴 핸디형 차량용 무선 청소기 DK-X112,"차량용청소기 / 무선 / 흡입력: 5200Pa / 추가노즐: 솔브러쉬, 연장호스 / 사용시간: 22분 / 크기: 277x72mm / 무게: 560g",50890
ZHENHUI 미니 진공 차량용 무선 청소기 (해외구매),"차량용청소기 / 무선 / 흡입력: 6,000Pa / 최대출력: 120W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 20~30분 / 색상: 퍼플, 옐로우 / 크기: 350x80x120mm",17720
신일전자 SDC-W8000NK,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 / 충전시간: 3시간 / 사용시간: 30분 / [기능] LED라이트 / 각도조절 / 셀프스탠딩 / 배터리잔량표시 / [부가] 색상: 화이트 / 무게: 3kg / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 410x1230x215mm,163000
로헨 L30,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 35000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 50분 / [성능] 듀얼헤파필터 / 5단계여과 / 물걸레(별도구매) / [부가] 먼지통용량: 0.5L / 무게: 2.5kg / 크기(가로x세로x깊이): 241x1144x211mm,169000
유피 무선 차량 청소기 H20,"차량용청소기 / 무선 / 흡입력: 14,000Pa / 추가노즐: 틈새, 솔브러쉬 / 사용시간: ~30분 / 배터리용량: 2,000mAh / 무게: 590g / 색상: 블랙, 화이트",125390
삼성전자 비스포크 제트 VS20A957E2,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 일체형청정스테이션 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 디스플레이표시창 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 색상: 미스티화이트 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x930x202mm,708990
삼성전자 제트 VS20T9253QD,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 200W / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 인버터모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 티탄+그레이 / 무게: 2.64kg / 크기(가로x세로x깊이): 250x1123x215mm,417600
샤오미 미홀 H17 Pro,물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 리튬이온 (분리형) / 충전시간: 3시간 / 사용시간: 30분 / [기능] 흡입력: 10000Pa / BLDC모터 / LED라이트 / 배터리잔량표시 / 걸레자동세척 / [부가] 물통용량: 0.8L / 무게: 4.8kg / 크기(가로x세로x깊이): 286x1100x256mm,215100
LG전자 오브제컬렉션 코드제로 A9S AT9271,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 분리형배기필터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 카밍베이지 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,875970
좋은생활지웰 GWELL-501,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / [배터리] 분리형 (1개) / 충전시간: 3~4시간 / 사용시간: 40분 / [기능] 배터리잔량표시 / [부가] 색상: 로즈골드 / 크기(가로x세로x깊이): 290x120x200mm,88800
LG전자 코드제로 A9S AT9201IB,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 210W / [구성] 바닥 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 타공/분리형배기필터 / 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 아이언그레이+딥그레이 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,741510
